epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,15525.8,3.30213,4.44266,3.69995,0.78648,0.63453,0.69517,0.37704,3.30035,2.19602,3.41006,0.00682392,0.00682392,0.00682392
117,15658.8,3.30016,4.37757,3.70537,0.78359,0.63348,0.69644,0.37931,3.29306,2.18001,3.40479,0.00677543,0.00677543,0.00677543
118,15792.7,3.31008,4.38931,3.69616,0.77977,0.63611,0.69941,0.37784,3.29278,2.18488,3.40289,0.00672675,0.00672675,0.00672675
119,15925.8,3.27681,4.31382,3.66843,0.79587,0.62438,0.69551,0.37466,3.30432,2.19501,3.41167,0.00667789,0.00667789,0.00667789
120,16059.7,3.26864,4.37141,3.67806,0.80269,0.62592,0.69631,0.37824,3.2979,2.1861,3.40835,0.00662885,0.00662885,0.00662885
121,16193.6,3.29525,4.39673,3.68082,0.80579,0.63022,0.70083,0.38167,3.28592,2.17587,3.40196,0.00657963,0.00657963,0.00657963
122,16327.2,3.3012,4.39682,3.69128,0.82701,0.62264,0.7004,0.38277,3.28187,2.17135,3.39556,0.00653025,0.00653025,0.00653025
123,16460.5,3.29645,4.35109,3.68303,0.82639,0.62548,0.70286,0.3845,3.28023,2.15664,3.39439,0.00648071,0.00648071,0.00648071
124,16593,3.26815,4.34518,3.66924,0.81576,0.63004,0.70033,0.38281,3.28228,2.15296,3.39625,0.00643101,0.00643101,0.00643101
125,16726.2,3.28883,4.32936,3.67377,0.81829,0.62638,0.69979,0.38234,3.27987,2.14867,3.39586,0.00638115,0.00638115,0.00638115
126,16858.9,3.29252,4.38678,3.69538,0.79654,0.63747,0.69966,0.38325,3.27756,2.13308,3.39598,0.00633115,0.00633115,0.00633115
127,16992,3.2828,4.32861,3.67418,0.79921,0.63921,0.70163,0.38541,3.26343,2.12823,3.38316,0.00628101,0.00628101,0.00628101
128,17125.1,3.30215,4.37032,3.66994,0.80646,0.64016,0.70381,0.38759,3.25294,2.12571,3.37487,0.00623074,0.00623074,0.00623074
129,17257.9,3.25903,4.30465,3.67527,0.80228,0.64346,0.70405,0.38831,3.24216,2.12313,3.37019,0.00618034,0.00618034,0.00618034
130,17390.2,3.25317,4.32188,3.65891,0.79615,0.64666,0.70522,0.39038,3.23383,2.11435,3.36569,0.00612981,0.00612981,0.00612981
131,17523.2,3.26017,4.30892,3.64507,0.81213,0.63898,0.70649,0.3911,3.23044,2.11289,3.36342,0.00607916,0.00607916,0.00607916
132,17656.3,3.26463,4.31067,3.65825,0.80036,0.64659,0.70846,0.39283,3.23379,2.10722,3.36231,0.0060284,0.0060284,0.0060284
133,17788.6,3.25935,4.32275,3.66237,0.79818,0.64967,0.70845,0.39413,3.22703,2.10507,3.35791,0.00597754,0.00597754,0.00597754
134,17921.1,3.24792,4.28313,3.65341,0.80475,0.64507,0.70891,0.39333,3.22948,2.09612,3.35724,0.00592657,0.00592657,0.00592657
135,18054.3,3.26729,4.32816,3.65244,0.81376,0.64361,0.71041,0.3939,3.22799,2.09444,3.3559,0.00587551,0.00587551,0.00587551
136,18187.5,3.24255,4.25051,3.64624,0.8114,0.64727,0.71126,0.39464,3.23228,2.08555,3.3569,0.00582435,0.00582435,0.00582435
137,18320.8,3.27153,4.31789,3.6743,0.80044,0.6501,0.70962,0.39389,3.22981,2.08853,3.35382,0.00577311,0.00577311,0.00577311
138,18454.4,3.24443,4.25673,3.65562,0.8105,0.64722,0.71055,0.39374,3.23459,2.08235,3.35562,0.00572179,0.00572179,0.00572179
139,18587.6,3.22613,4.19813,3.64667,0.81627,0.64657,0.70955,0.39453,3.23054,2.08121,3.34997,0.0056704,0.0056704,0.0056704
140,18720.4,3.24952,4.26065,3.66185,0.80566,0.64993,0.7104,0.39479,3.23346,2.07607,3.34818,0.00561894,0.00561894,0.00561894
141,18853.4,3.23,4.23406,3.6532,0.81507,0.64161,0.71048,0.39455,3.23453,2.07251,3.34842,0.00556742,0.00556742,0.00556742
142,18986.4,3.23019,4.19099,3.62559,0.81527,0.64307,0.71152,0.39585,3.22663,2.07682,3.34593,0.00551584,0.00551584,0.00551584
143,19119.8,3.21832,4.20349,3.63109,0.81846,0.64338,0.71275,0.39616,3.2183,2.07494,3.34035,0.00546421,0.00546421,0.00546421
144,19253.5,3.24708,4.24397,3.63697,0.83413,0.63628,0.71333,0.39732,3.21483,2.06739,3.3363,0.00541253,0.00541253,0.00541253
145,19386,3.25092,4.2331,3.64102,0.83489,0.64075,0.71482,0.39818,3.21288,2.06344,3.33203,0.00536081,0.00536081,0.00536081
146,19519.3,3.23816,4.17564,3.63365,0.82277,0.64425,0.71413,0.39905,3.2086,2.06174,3.32627,0.00530906,0.00530906,0.00530906
147,19652.4,3.23575,4.21582,3.62859,0.82075,0.64578,0.71393,0.39965,3.20801,2.06151,3.32572,0.00525728,0.00525728,0.00525728
148,19785.6,3.23047,4.18587,3.62189,0.82123,0.64562,0.71482,0.4,3.20914,2.06327,3.32492,0.00520548,0.00520548,0.00520548
149,19918.9,3.21677,4.19005,3.61568,0.82302,0.64666,0.71583,0.40048,3.20791,2.05858,3.32325,0.00515366,0.00515366,0.00515366
150,20051.8,3.2057,4.1554,3.61706,0.82176,0.65001,0.71624,0.40063,3.21059,2.05258,3.32379,0.00510184,0.00510184,0.00510184
151,20185.2,3.22184,4.14852,3.60857,0.82573,0.64843,0.71708,0.40142,3.21381,2.04855,3.3245,0.00505,0.00505,0.00505
152,20319,3.20175,4.17616,3.60735,0.81815,0.65053,0.71809,0.40232,3.21243,2.04647,3.32156,0.00499816,0.00499816,0.00499816
153,20451.7,3.20144,4.12518,3.60738,0.81406,0.65384,0.71814,0.40298,3.21212,2.04452,3.32036,0.00494634,0.00494634,0.00494634
154,20585,3.1713,4.09608,3.59403,0.82963,0.64715,0.71902,0.40415,3.20994,2.03877,3.31962,0.00489452,0.00489452,0.00489452
155,20717.8,3.19266,4.13375,3.59718,0.83269,0.64765,0.71884,0.40375,3.21,2.03836,3.32069,0.00484272,0.00484272,0.00484272
156,20851.3,3.20373,4.15237,3.59348,0.82519,0.65264,0.71942,0.40422,3.20779,2.03587,3.31903,0.00479094,0.00479094,0.00479094
157,20984.8,3.23431,4.20732,3.62771,0.81758,0.6576,0.7201,0.40492,3.20522,2.03565,3.31863,0.00473919,0.00473919,0.00473919
158,21118.2,3.18318,4.09625,3.57016,0.81177,0.65896,0.71968,0.4048,3.20011,2.03305,3.31506,0.00468747,0.00468747,0.00468747
159,21251.5,3.20139,4.12529,3.58426,0.8092,0.66322,0.72015,0.40503,3.19935,2.02738,3.31375,0.00463579,0.00463579,0.00463579
160,21384.5,3.18552,4.07569,3.5761,0.8107,0.66413,0.72101,0.4063,3.1989,2.02412,3.3138,0.00458416,0.00458416,0.00458416
161,21518,3.15782,4.00993,3.57191,0.81241,0.66476,0.72158,0.40693,3.1993,2.01948,3.31197,0.00453258,0.00453258,0.00453258
162,21650.9,3.18604,4.0988,3.57374,0.80631,0.66572,0.72202,0.40732,3.19666,2.02013,3.311,0.00448106,0.00448106,0.00448106
163,21783.7,3.18291,4.10926,3.5805,0.80849,0.66448,0.72182,0.40802,3.19513,2.01654,3.30861,0.0044296,0.0044296,0.0044296
164,21916,3.17751,4.09577,3.57849,0.816,0.66222,0.72364,0.40844,3.19209,2.01626,3.30598,0.00437821,0.00437821,0.00437821
165,22048.8,3.16215,4.0809,3.57202,0.81866,0.66445,0.72422,0.40811,3.18992,2.01394,3.3055,0.00432689,0.00432689,0.00432689
166,22181.2,3.16295,4.05523,3.56636,0.82061,0.66235,0.72374,0.40822,3.18996,2.00775,3.30621,0.00427565,0.00427565,0.00427565
167,22314.4,3.17467,4.02883,3.55198,0.82349,0.65777,0.72368,0.40775,3.18806,2.00964,3.30467,0.00422449,0.00422449,0.00422449
168,22447.6,3.15031,4.0573,3.57463,0.81902,0.66189,0.72409,0.40827,3.18774,2.00918,3.30393,0.00417343,0.00417343,0.00417343
169,22580.7,3.17434,4.06491,3.56963,0.81971,0.66452,0.7239,0.40848,3.189,2.00763,3.30496,0.00412246,0.00412246,0.00412246
170,22713.3,3.15486,4.01323,3.55404,0.81825,0.6661,0.72383,0.40822,3.18973,2.00677,3.30511,0.0040716,0.0040716,0.0040716
171,22845.9,3.15058,4.0271,3.57356,0.81752,0.66596,0.72472,0.40805,3.18809,2.00862,3.30427,0.00402084,0.00402084,0.00402084
172,22979.1,3.13403,3.96225,3.53136,0.82341,0.66592,0.72502,0.40866,3.19011,2.00305,3.30477,0.00397019,0.00397019,0.00397019
173,23112.6,3.14017,3.99831,3.54713,0.81135,0.67209,0.72495,0.40977,3.189,1.99898,3.30465,0.00391966,0.00391966,0.00391966
174,23245.9,3.15341,3.99983,3.55041,0.82357,0.66427,0.72486,0.4099,3.19024,1.99495,3.30542,0.00386926,0.00386926,0.00386926
175,23378,3.1393,4.01255,3.55207,0.82485,0.66077,0.72591,0.41038,3.18967,1.99007,3.30402,0.00381899,0.00381899,0.00381899
176,23511.3,3.13663,3.98851,3.53631,0.8295,0.65862,0.72617,0.41077,3.18938,1.98678,3.30304,0.00376885,0.00376885,0.00376885
177,23644.2,3.13709,3.97079,3.52397,0.81706,0.66879,0.72654,0.41071,3.18807,1.98478,3.30183,0.00371885,0.00371885,0.00371885
178,23777.7,3.15608,3.99385,3.5475,0.82929,0.66063,0.72617,0.41093,3.1889,1.98114,3.3022,0.00366899,0.00366899,0.00366899
